year,week,rsv_week_ending_date,n_rsv,n_rsv_tests,n_influenza_tests,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2019,12,2019-03-23,1772,31181,52587,745,NA,1402,27,NA,75,0,50,19,12510,767
2019,13,2019-03-30,1452,27985,45852,472,NA,1110,30,NA,105,0,66,25,9284,794
2019,14,2019-04-06,1016,24167,39381,336,NA,887,21,NA,96,0,70,20,6136,783
2019,15,2019-04-13,761,21059,33865,217,NA,660,9,NA,79,0,58,18,4097,722
2019,16,2019-04-20,643,19640,29493,130,NA,354,7,NA,25,0,50,19,2384,612
2019,17,2019-04-27,506,18030,25962,88,NA,218,4,NA,67,0,39,14,1341,533
2019,18,2019-05-04,371,16015,21210,65,NA,158,6,NA,13,0,40,11,863,402
2019,19,2019-05-11,268,14181,18582,45,NA,94,14,NA,22,0,41,9,557,349
2019,20,2019-05-18,215,13398,17801,43,NA,82,3,NA,11,0,40,7,461,327
2019,21,2019-05-25,212,12380,16227,29,NA,67,4,NA,3,0,27,3,376,293
2019,22,2019-06-01,178,11460,14942,23,NA,55,4,NA,20,0,25,11,294,287
2019,23,2019-06-08,105,9474,13119,25,NA,54,4,NA,19,0,32,1,227,260
2019,24,2019-06-15,96,8588,11838,21,NA,57,7,NA,6,0,19,2,214,162
2019,25,2019-06-22,99,8123,10857,19,NA,52,2,NA,9,0,13,0,182,112
2019,26,2019-06-29,94,7594,9519,21,NA,48,2,NA,4,0,12,3,164,116
2019,27,2019-07-06,138,7653,9215,29,NA,41,3,NA,3,0,13,1,202,103
2019,28,2019-07-13,131,7830,9476,10,NA,42,1,NA,2,0,9,1,155,93
2019,29,2019-07-20,130,7322,8662,12,NA,55,4,NA,1,0,10,0,176,91
2019,30,2019-07-27,93,6891,8247,19,NA,29,2,NA,3,0,11,0,154,99
2019,31,2019-08-03,122,6956,8217,14,NA,30,2,NA,1,0,10,2,150,98
2019,32,2019-08-10,111,7147,8375,7,NA,33,0,NA,1,0,16,0,119,104
2019,33,2019-08-17,150,7365,8654,20,NA,34,3,NA,0,0,38,0,135,133
2019,34,2019-08-24,175,7482,9248,19,NA,38,1,NA,2,0,32,0,152,150
2019,35,2019-08-31,175,8609,10877,14,NA,34,4,NA,6,0,29,0,194,256
2019,36,2019-09-07,213,9640,12269,16,NA,54,9,NA,1,0,29,1,215,261
2019,37,2019-09-14,231,11196,13961,12,NA,69,14,NA,2,0,44,2,247,228
2019,38,2019-09-21,270,11746,15825,27,NA,59,10,NA,5,0,46,0,258,304
2019,39,2019-09-28,368,12984,18147,18,NA,60,18,NA,7,0,49,0,249,379
2019,40,2019-10-05,608,15146,20838,25,NA,57,21,NA,7,0,56,1,239,188
2019,41,2019-10-12,596,16696,23214,33,NA,64,22,NA,7,0,70,2,265,260
2019,42,2019-10-19,754,17689,24387,36,NA,82,24,NA,13,0,77,3,314,280
2019,43,2019-10-26,1154,17824,26124,53,NA,78,48,NA,20,0,96,5,380,475
2019,44,2019-11-02,1490,19126,27014,52,NA,61,83,NA,39,0,120,5,417,720
2019,45,2019-11-09,2008,21507,31189,122,NA,74,205,NA,74,0,234,10,815,1393
2019,46,2019-11-16,2719,22704,33647,149,NA,58,146,NA,89,0,330,10,888,2018
2019,47,2019-11-23,3407,25354,39305,258,NA,78,173,NA,173,0,423,10,1412,3187
2019,48,2019-11-30,4251,25058,37757,369,NA,83,92,NA,141,0,500,10,1623,3444
2019,49,2019-12-07,4764,28898,45188,513,NA,83,86,NA,195,0,657,14,2108,4327
2019,50,2019-12-14,4770,30144,48415,620,NA,78,41,NA,311,0,807,15,2897,6230
2019,51,2019-12-21,5614,34861,58494,915,NA,52,52,NA,276,0,1110,16,4716,9981
2019,52,2019-12-28,6147,38488,68238,1210,NA,88,27,NA,348,0,1326,24,7305,12962
2020,1,2020-01-04,6325,40434,69417,1262,NA,101,45,NA,189,0,1275,23,7053,11151
2020,2,2020-01-11,4923,37605,65248,1338,NA,86,34,NA,223,0,1145,20,7567,9316
2020,3,2020-01-18,4529,37303,65248,1598,NA,73,56,NA,252,0,1244,12,9439,9528
2020,4,2020-01-25,4219,39374,69502,1769,NA,79,37,NA,256,0,1137,8,11363,10165
2020,5,2020-02-01,3866,41456,78348,2366,NA,92,50,NA,309,0,1073,8,14610,11061
2020,6,2020-02-08,3525,41746,77533,2355,NA,91,64,NA,288,0,875,5,15470,9955
2020,7,2020-02-15,3107,40751,74292,2052,NA,65,129,NA,280,0,744,10,15618,8214
2020,8,2020-02-22,2608,37952,69556,1752,NA,76,119,NA,169,0,564,9,14661,6497
2020,9,2020-02-29,2307,37897,66399,1667,NA,63,50,NA,141,0,454,8,13493,4966
2020,10,2020-03-07,2132,40119,68305,1612,NA,73,65,NA,132,0,352,8,12800,3870
2020,11,2020-03-14,2069,49351,78031,1138,NA,74,52,NA,93,0,197,3,10341,2983
2020,12,2020-03-21,1799,54868,75955,444,NA,30,23,NA,50,0,77,1,4628,1480
2020,13,2020-03-28,897,35781,46904,100,NA,7,8,NA,34,0,20,2,874,336
2020,14,2020-04-04,334,23185,32317,37,NA,1,4,NA,7,0,5,0,238,134
2020,15,2020-04-11,141,15139,20596,28,NA,0,3,NA,4,0,0,0,106,50
2020,16,2020-04-18,82,11978,15330,19,NA,0,0,NA,3,0,2,0,77,37
2020,17,2020-04-25,53,10414,13648,26,NA,0,0,NA,4,0,0,0,46,12
2020,18,2020-05-02,40,8823,11018,23,NA,0,1,NA,2,0,1,0,43,11
2020,19,2020-05-09,19,7597,9552,26,NA,1,0,NA,2,0,0,0,41,17
2020,20,2020-05-16,14,7129,8532,24,NA,0,0,NA,3,0,0,0,38,13
2020,21,2020-05-23,13,6632,8078,0,NA,0,1,NA,0,0,0,0,9,8
2020,22,2020-05-30,14,5623,6587,2,NA,0,1,NA,1,0,0,0,10,4
2020,23,2020-06-06,9,5563,6543,0,NA,0,0,NA,2,0,0,0,9,14
2020,24,2020-06-13,14,5432,6069,1,NA,0,1,NA,3,0,1,0,10,12
2020,25,2020-06-20,24,5209,5648,0,NA,0,0,NA,0,0,0,0,12,8
2020,26,2020-06-27,8,5193,5882,0,NA,0,3,NA,0,0,0,0,12,7
