year,week,total_specimens,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2010,42,4112,8,0,35,51,0,45,0,NA,NA,94,45
2010,43,4240,13,0,56,45,0,52,0,NA,NA,114,52
2010,44,4608,12,0,61,68,0,106,0,NA,NA,141,106
2010,45,5377,15,0,79,93,0,163,0,NA,NA,187,163
2010,46,5578,23,0,123,104,0,237,0,NA,NA,250,237
2010,47,5533,11,0,155,156,0,265,0,NA,NA,322,265
2010,48,5975,35,0,176,126,0,260,0,NA,NA,337,260
2010,49,6361,48,0,359,126,0,310,0,NA,NA,533,310
2010,50,7692,83,0,551,274,0,542,0,NA,NA,908,542
2010,51,8172,112,0,789,456,0,689,0,NA,NA,1357,689
2010,52,9030,197,0,1015,512,0,648,0,NA,NA,1724,648
2011,1,10441,346,0,1159,551,0,572,0,NA,NA,2056,572
2011,2,10190,557,0,1216,626,0,585,0,NA,NA,2399,585
2011,3,11067,832,0,1437,700,0,741,0,NA,NA,2969,741
2011,4,12950,1074,0,1524,877,0,972,0,NA,NA,3475,972
2011,5,13875,1231,0,1481,1073,0,1127,0,NA,NA,3785,1127
2011,6,14647,1267,0,1488,1145,0,1177,0,NA,NA,3900,1177
2011,7,16401,1432,0,1570,1360,0,1354,0,NA,NA,4362,1354
2011,8,15033,1170,0,1235,1048,0,1204,0,NA,NA,3453,1204
2011,9,12990,954,0,997,738,0,884,0,NA,NA,2689,884
2011,10,11625,714,0,858,503,0,691,0,NA,NA,2075,691
2011,11,9860,457,0,609,371,0,563,0,NA,NA,1437,563
2011,12,8443,264,0,426,265,0,406,0,NA,NA,955,406
2011,13,7107,168,0,283,166,0,293,0,NA,NA,617,293
2011,14,6481,87,0,208,87,0,254,0,NA,NA,382,254
2011,15,5615,46,0,141,54,0,159,0,NA,NA,241,159
2011,16,4642,30,0,60,29,0,86,0,NA,NA,119,86
2011,17,3976,10,0,28,32,0,63,0,NA,NA,70,63
2011,18,3611,11,0,23,10,0,25,0,NA,NA,44,25
2011,19,3271,2,0,11,8,0,15,0,NA,NA,21,15
2011,20,3079,3,0,6,4,0,13,0,NA,NA,13,13
2011,21,2705,3,0,4,6,0,5,0,NA,NA,13,5
